Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,36.747459,38.944569,36.747459,38.944569,29.773565,28802010
2000-01-04,39.981236,42.062302,38.882679,42.062302,32.157112,61320457
2000-01-05,39.710464,44.545658,39.710464,43.710136,33.416893,173426953
2000-01-06,44.715855,46.526150,44.715855,45.543640,34.818630,101355113
2000-01-07,45.644211,49.187443,45.334759,48.669109,37.208084,128426756
2000-01-10,49.110077,49.311222,47.237892,47.733013,36.492432,86714866
2000-01-11,47.647915,48.112095,43.919018,44.638493,34.126640,81074352
2000-01-12,44.715855,47.191475,43.655979,46.680878,35.688065,78264129
2000-01-13,47.346199,48.955353,47.052219,48.251347,36.888706,110363002
2000-01-14,47.887741,49.767666,47.887741,48.939880,37.415092,86996234
2000-01-17,49.241596,49.961071,47.508663,47.771698,36.521999,69343031
2000-01-18,47.810379,49.349903,47.276573,48.614956,37.166687,65168824
2000-01-19,49.953335,50.270523,48.924408,49.450478,37.805462,74204601
2000-01-20,49.512367,50.270523,48.050205,48.406075,37.006992,99716250
2000-01-21,48.382866,50.812065,48.274555,50.494877,38.603905,110757441
2000-01-24,50.363361,51.345871,49.821819,50.463932,38.580254,85074833
2000-01-25,50.293732,50.332417,49.241596,49.504631,37.846851,63033619
2000-01-26,49.504631,49.504631,49.504631,49.504631,37.846851,0
2000-01-27,50.904900,52.111767,49.930126,51.825523,39.621208,97039553
2000-01-28,51.972511,52.900867,51.307190,52.351589,40.023392,75838844
2000-01-31,51.748158,51.987984,50.525822,50.773384,38.816833,65866896
2000-02-01,51.183407,52.212337,50.750175,51.686268,39.514736,69204877
2000-02-02,53.055595,53.674500,52.382538,52.630096,40.236313,64312647
2000-02-03,52.916340,53.148430,52.049873,52.862186,40.413746,43764594
2000-02-04,53.225792,53.744125,52.869923,53.249001,40.709465,45932185
2000-02-07,52.777088,54.069050,52.305172,53.163902,40.644409,52955762
2000-02-08,53.457882,53.674500,52.769352,52.978233,40.502460,41561566
2000-02-09,53.999424,54.873627,53.349575,54.216042,41.448784,73916538
2000-02-10,53.968479,56.289371,53.365047,55.043827,42.081638,69752781
2000-02-11,56.320316,57.867577,55.709148,56.212009,42.974720,52710076
2000-02-14,55.546684,55.840664,54.154148,54.479076,41.649872,33138542
2000-02-15,54.463604,54.834946,52.924076,53.279949,40.733128,52507848
2000-02-16,54.154148,54.742111,53.086540,53.867908,41.182632,50905372
2000-02-17,53.798279,55.206287,53.767334,54.858154,41.939686,49576753
2000-02-18,55.221760,55.384224,53.844700,54.069050,41.336422,32513360
2000-02-21,53.906590,54.463604,52.862186,53.481091,40.886909,19029776
2000-02-22,53.535248,53.689972,51.446442,51.732685,39.550228,46483688
2000-02-23,53.334103,53.334103,50.641869,51.028683,39.012009,31227592
2000-02-24,51.508331,52.715199,50.951321,52.104031,39.834129,36605791
2000-02-25,52.823505,53.055595,50.456196,50.843010,38.870068,25284007
2000-02-28,50.262787,52.181393,47.965103,51.539276,39.402367,32483223
2000-02-29,52.281963,53.047859,47.415829,48.096622,36.770416,64437118
2000-03-01,48.738735,51.036419,46.263119,49.017242,37.474247,69580276
2000-03-02,49.334431,49.821819,45.102673,45.141354,34.511070,81022150
2000-03-03,44.267151,44.267151,41.536232,41.536232,31.754917,29967630
2000-03-06,41.536232,43.919018,38.217358,39.292706,30.039717,67414030
2000-03-07,39.764618,40.074070,37.134274,37.490143,28.661640,61789492
2000-03-08,38.201885,38.758900,35.587013,36.043453,27.555632,46898188
2000-03-09,36.499897,37.505615,34.681866,35.788158,27.360455,35842630
2000-03-10,36.205917,36.329697,33.204231,33.552364,25.651169,42637713
2000-03-13,34.024281,35.509651,30.991646,31.440351,24.036505,69577129
2000-03-14,31.796223,33.962387,30.504259,33.915970,25.929144,65317454
2000-03-15,34.658657,36.631413,33.420849,36.631413,28.005133,36911809
2000-03-16,37.056911,38.341137,35.602486,36.337437,27.780384,68277374
2000-03-17,36.337437,36.337437,36.337437,36.337437,27.780384,0
2000-03-20,36.337437,36.337437,36.337437,36.337437,27.780384,0
2000-03-21,36.948605,37.567509,35.215672,36.809349,28.141167,44194444
2000-03-22,37.907906,38.449448,37.319946,37.660343,28.791763,31873171
2000-03-23,37.946587,38.031685,36.909920,37.281265,28.501947,27701407
2000-03-24,37.010494,37.590717,36.770668,37.227112,28.460546,17048508
2000-03-27,37.598454,40.205589,37.598454,40.205589,30.737633,26767719
2000-03-28,40.708447,43.423893,40.708447,43.423893,33.198059,45414179
2000-03-29,44.066006,44.855110,41.621334,41.977203,32.092045,66425961
2000-03-30,41.621334,45.334759,39.965763,45.334759,34.658943,110959424
2000-03-31,45.953667,48.963089,43.338795,48.963089,37.432838,127348768
2000-04-03,50.696022,51.632114,49.218388,50.843010,38.870068,138005247
2000-04-04,50.440723,50.440723,46.781448,46.781448,35.764950,87447974
2000-04-05,46.943913,48.274555,43.052547,46.765976,35.753128,162780343
2000-04-06,46.882023,50.510349,46.812393,50.463932,39.415161,104953613
2000-04-07,51.028683,54.502285,51.028683,54.502285,42.569336,75527920
2000-04-10,57.233200,58.795937,55.624050,56.405415,44.055790,142902280
2000-04-11,55.391960,55.546684,53.612610,54.734371,42.750614,63076282
2000-04-12,55.237232,55.701412,51.740421,52.289700,40.841171,111576934
2000-04-13,51.229828,51.229828,48.112095,48.112095,37.578243,1455558
2000-04-14,48.112095,48.112095,48.112095,48.112095,37.578243,0
2000-04-17,44.267151,46.541622,44.267151,46.170280,36.061569,102966877
2000-04-18,45.969135,47.794907,45.489487,46.425579,36.260975,56718132
2000-04-19,47.609234,50.139008,46.897495,48.715527,38.049557,105306863
2000-04-20,48.429283,52.614624,47.849060,52.258755,40.817005,125305202
2000-04-21,52.258755,52.258755,52.258755,52.258755,40.817005,0
2000-04-24,53.535248,55.794247,49.976543,52.134975,40.720337,113867362
